CustomerID,Frequency,CustomerType,ProductType,Recency,MonetaryValue
00e0d2e3,1,Individual,Software,273,986.07
00ebff09,2,Small Business,Software,260,1047.77
015b7cc7,2,Individual,Software,78,540.32
01acb293,1,Individual,Software,142,1489.73
01b2fba6,1,Individual,Software,101,286.06
01c16286,2,Small Business,Software,202,300.32
01e21585,3,Enterprise,Services,247,711.78
01f9f481,2,Individual,Software,300,1089.83
0238407a,1,Individual,Software,231,1350.19
026b594b,4,Individual,Services,32,1185.64
2845221,5,Individual,Hardware,246,1449.55
02b76a75,3,Small Business,Services,167,958.8
02c0bcdd,1,Individual,Services,256,668.95
02cb24fb,2,Enterprise,Services,83,414.05
02e3a52f,5,Enterprise,Software,140,733.54
0319b0b3,1,Individual,Software,348,1168.67
033406cb,2,Small Business,Hardware,68,930.77
036664a9,2,Small Business,Software,153,413.44
036eac68,1,Individual,Services,193,1483.85
03bce8cd,1,Individual,Hardware,332,838.27
03c236ef,3,Small Business,Software,263,987.66
040158a2,5,Individual,Software,240,831.42
4678003,1,Individual,Software,265,306.87
046b7d35,1,Small Business,Services,27,715.41
04a428f4,2,Individual,Software,322,520.11
0504a180,1,Individual,Services,343,415.29
0528e377,1,Small Business,Services,11,1334.54
053f7000,1,Individual,Software,347,926.04
063e03de,4,Individual,Hardware,305,1353.77
06cd7ad5,1,Enterprise,Software,249,144.62
06fef85c,1,Individual,Software,166,270.1
075caafb,1,Small Business,Software,251,240.12
077cd434,2,Individual,Hardware,243,1435.8
08944f0f,1,Enterprise,Software,193,964.17
08bd7b90,2,Individual,Services,8,1149.46
9360833,2,Individual,Hardware,175,909.11
9838293,2,Individual,Software,182,940.26
099643ee,1,Individual,Software,21,1129.76
09b7a46b,2,Individual,Software,233,1354.9
09dcac45,2,Individual,Software,43,927.21
0a8633c9,1,Individual,Software,161,237.62
0aa880a4,1,Individual,Hardware,221,1109.08
0b9d6f2a,1,Small Business,Hardware,343,1418.56
0be3f943,2,Enterprise,Software,312,979.23
0be4e3c3,2,Small Business,Hardware,314,339.52
0be90517,2,Small Business,Hardware,137,472.25
0c024248,3,Small Business,Software,204,746.66
0c0ccc7f,2,Enterprise,Software,340,127.12
0c6b89ea,3,Individual,Software,246,89.75
0d5f60f1,3,Enterprise,Software,301,807.62
0d6ee080,3,Enterprise,Software,7,396.22
0dfb7cc8,2,Small Business,Software,84,1485.41
0e062800,3,Enterprise,Services,16,481.85
0e12227a,1,Small Business,Software,228,832.44
0f1b3632,1,Individual,Software,109,863.52
0f2f8f08,2,Small Business,Services,91,936.23
0f58181b,1,Small Business,Services,286,186.89
0fa5b55a,1,Small Business,Hardware,10,299.13
0fee11d2,2,Small Business,Hardware,182,1291.32
100f40fb,1,Individual,Software,309,1403.24
105d9774,1,Individual,Hardware,268,453.04
1067df08,1,Individual,Software,62,252.95
10742591,1,Individual,Software,117,520.15
11041106,1,Small Business,Software,327,433.38
1111b7b3,2,Enterprise,Software,198,609.22
1157b937,5,Individual,Services,180,663.17
11ace9c9,1,Individual,Hardware,57,71.58
11b01415,2,Small Business,Hardware,259,882.57
12477dbc,4,Small Business,Services,6,363.31
124ab113,3,Individual,Hardware,48,707.93
12abd240,1,Individual,Software,86,933.12
12be6f16,1,Individual,Software,131,646.18
12db8703,3,Individual,Software,185,262.3
13099ba5,1,Small Business,Hardware,221,1024.71
130b5bf7,1,Individual,Software,346,1421.27
13914bcd,2,Enterprise,Hardware,183,616.02
13a2957c,4,Small Business,Software,120,938
13c06988,3,Individual,Hardware,13,418.57
1417bf8b,2,Individual,Software,85,137.69
147bba4e,1,Small Business,Hardware,238,701.24
14ccabb0,1,Individual,Services,165,745.94
14dbabf2,2,Individual,Hardware,280,1008.66
14f3b59b,4,Individual,Hardware,349,950.51
15b17277,2,Enterprise,Software,35,790.25
15b75862,2,Small Business,Services,39,416.74
161a35e8,2,Individual,Software,5,1090.49
1682fece,2,Individual,Services,107,555.53
16bbe6f3,1,Individual,Software,13,1267.29
16e267d1,4,Individual,Software,317,1003.73
17cd4b1f,4,Individual,Software,259,1437.52
18629c07,4,Individual,Services,228,1499.82
18a58ad6,2,Small Business,Hardware,306,1287.09
193e196e,3,Individual,Software,134,705.58
195650a5,3,Individual,Hardware,45,435.88
19b557ef,2,Individual,Hardware,310,609.31
1a4f77a2,5,Small Business,Services,138,274.16
1a6dfa7d,2,Individual,Hardware,248,588.01
1ace8cee,1,Individual,Software,231,1009.18
1b7b18a2,2,Individual,Services,179,894.45
1bb55542,4,Small Business,Services,272,1275.45
1bd77b4f,1,Individual,Services,86,524.86
1bd897ab,2,Small Business,Software,131,181.81
1bfcc3c0,1,Small Business,Services,41,1304.77
1c081f4f,2,Individual,Hardware,77,1452.28
1c0c5a36,4,Individual,Services,320,1191.91
1c6671a5,3,Individual,Software,104,641.7
1c77c359,1,Individual,Hardware,235,1420.1
1cc4617f,1,Individual,Software,304,853.34
1cc47167,3,Individual,Software,4,908.22
1cdb6bd5,3,Individual,Hardware,226,277.95
1ceebf8b,3,Individual,Software,296,142.97
1d721865,1,Individual,Services,159,1263.96
1d8d6a5f,1,Individual,Software,305,1097.79
1da1ae9f,1,Enterprise,Hardware,237,732.33
1dfa4dea,1,Enterprise,Software,6,902.34
1e43de3f,1,Individual,Hardware,88,284.28
1e44f29a,2,Small Business,Software,63,1181.07
